ID,start_date,germination_date,germination_failure,seed_lot_id
1114,5/1/22,5/5/22,0,132
1115,5/1/22,5/8/22,0,133
1116,5/1/22,5/9/22,0,134
1117,5/1/22,5/11/22,0,135
1119,5/1/22,5/7/22,0,137
1124,5/1/22,5/10/22,0,130
1126,5/1/22,5/8/22,0,132
1128,5/1/22,5/12/22,0,134
1129,5/1/22,5/6/22,0,135
1130,5/1/22,5/8/22,0,136
1131,5/1/22,5/9/22,0,137
1132,5/1/22,5/10/22,0,138
1134,5/1/22,5/12/22,0,128
1135,5/1/22,5/9/22,0,129
1136,5/1/22,5/12/22,0,130
1138,5/14/22,5/25/22,0,132
1139,5/14/22,5/22/22,0,133
1140,5/14/22,5/18/22,0,134
1141,5/14/22,5/19/22,0,135
1142,5/14/22,5/19/22,0,136
1143,5/14/22,5/25/22,0,137
1144,5/14/22,5/20/22,0,138
1145,5/14/22,5/20/22,0,139
1146,5/14/22,5/18/22,0,128
1148,5/14/22,5/25/22,0,130
1149,5/14/22,5/23/22,0,131
1150,5/14/22,5/23/22,0,132
1153,5/14/22,5/21/22,0,135
1155,5/14/22,5/18/22,0,137
1158,5/14/22,5/19/22,0,128
1159,5/14/22,5/20/22,0,129
1162,5/14/22,5/18/22,0,132
1163,5/14/22,5/19/22,0,133
1165,5/14/22,5/19/22,0,135
1166,5/14/22,5/22/22,0,136
1167,5/14/22,5/24/22,0,137
1168,5/14/22,5/24/22,0,138
1169,5/14/22,5/23/22,0,139
1170,5/14/22,5/23/22,0,123
1171,5/14/22,5/20/22,0,124
1172,5/14/22,5/24/22,0,125
1173,5/14/22,5/25/22,0,126
1174,5/14/22,5/19/22,0,127
1175,5/14/22,5/21/22,0,123
1178,5/14/22,5/19/22,0,126
1179,5/14/22,5/21/22,0,127
1180,5/14/22,5/22/22,0,123
1184,5/14/22,5/19/22,0,127
1003,4/1/22,,1,103
1004,4/1/22,,1,104
1006,4/1/22,,1,106
1014,4/1/22,,1,114
1017,4/1/22,,1,117
1018,4/1/22,,1,118
1022,4/1/22,,1,122
1023,4/1/22,,1,123
1026,4/1/22,,1,126
1035,4/1/22,,1,135
1036,4/1/22,,1,136
1037,4/1/22,,1,137
1039,4/1/22,,1,139
1047,4/1/22,,1,147
1051,4/14/22,,1,102
1052,4/14/22,,1,103
1053,4/14/22,,1,104
1059,4/14/22,,1,110
1071,4/14/22,,1,122
1074,4/14/22,,1,125
1077,4/14/22,,1,128
1078,4/14/22,,1,129
1081,4/14/22,,1,132
1082,4/14/22,,1,133
1089,4/14/22,,1,140
1100,5/1/22,,1,130
1103,5/1/22,,1,133
1113,5/1/22,,1,131
1118,5/1/22,,1,136
1120,5/1/22,,1,138
1121,5/1/22,,1,139
1122,5/1/22,,1,128
1123,5/1/22,,1,129
1125,5/1/22,,1,131
1127,5/1/22,,1,133
1133,5/1/22,,1,139
1137,5/1/22,,1,131
1147,5/14/22,,1,129
1151,5/14/22,,1,133
1152,5/14/22,,1,134
1154,5/14/22,,1,136
1156,5/14/22,,1,138
1157,5/14/22,,1,139
1160,5/14/22,,1,130
1161,5/14/22,,1,131
1164,5/14/22,,1,134
1176,5/14/22,,1,124
1177,5/14/22,,1,125
1181,5/14/22,,1,124
1182,5/14/22,,1,125
1183,5/14/22,,1,126
